software_version,other_software_Version,software_compatbile,software_compatbile_count,new_requirements,operate_cost,defect_count,slo_misses,other_sw_version_defect_count,other_sw_invest_cost,upgrade_cost
Oracle 19c,.NET Framework 4.7,Yes,1,1,2250,8,97,8,3167,415000
Oracle 19c,.NET Framework 4.8,Yes,1,2,1682,8,97,8,3000,485000
Oracle 19c,.NET 5.0,Yes,1,2,1650,8,116,8,1650,470000
Oracle 19c,.NET 6.0,Yes,1,2,2000,8,118,8,2167,585000
Oracle 21c,.NET Framework 4.5,Yes,1,2,1882,8,116,8,1650,625000
Oracle 21c,.NET Framework 4.6,Yes,1,2,2242,8,97,8,1606,800000
Oracle 21c,.NET Framework 4.7,Yes,1,3,709,8,86,8,2250,637000
Oracle 21c,.NET Framework 4.8,Yes,1,2,2440,8,107,8,2250,592000
Oracle 21c,.NET 5.0,Yes,1,2,2894,8,118,8,2250,670000
Oracle 21c,.NET 6.0,Yes,1,2,2500,8,97,8,1300,625000
Oracle 21c,.NET 7.0,Yes,1,2,2500,8,116,8,2500,418500
Oracle 21c,.NET 8.0,Yes,1,2,2117,8,116,8,1320,575000
Java 1.0,MySQL 3.x,No,0,2,2200,8,107,8,1717,469775
Java 1.0,MySQL 4.x,No,0,2,2810,8,102,8,2375,591000
Java 1.1,MySQL 3.x,No,0,2,2500,8,102,8,2000,565000
Java 1.1,MySQL 4.x,No,0,2,2500,8,97,8,2500,527000
Java 1.2,MySQL 4.x,No,0,3,2835,8,92,8,1466,480000
Java 1.2,MySQL 5.0,No,0,3,3167,8,97,8,2100,800000
Java 1.3,MySQL 4.x,No,0,3,3000,8,118,8,2500,525000
Java 1.3,MySQL 5.0,No,0,3,1650,8,87,8,2042,645000
Java 1.4,MySQL 4.x,No,0,3,2167,8,87,8,2458,600000
Java 1.4,MySQL 5.0,No,0,3,1650,8,87,8,1800,630000
Java 1.4,MySQL 5.1,No,0,1,1606,8,87,8,2300,450000
Java 5.0,MySQL 5.0,Yes,1,2,2250,8,107,8,1800,510000
Java 5.0,MySQL 5.1,Yes,1,2,2250,8,107,8,2500,590000
Java 5.0,MySQL 5.5,Yes,1,2,2250,8,107,8,2000,450000
Java 6,MySQL 5.0,Yes,1,3,1300,8,116,8,1453,800000
Java 6,MySQL 5.1,Yes,1,2,2500,8,92,8,2200,525000
Java 6,MySQL 5.5,Yes,1,2,1320,8,87,8,2300,420000
Java 6,MySQL 5.6,Yes,1,2,1717,8,97,8,1900,435000
Java 7,MySQL 5.1,Yes,1,2,2375,8,92,8,1800,440000
Java 7,MySQL 5.5,Yes,1,2,2000,8,107,8,1800,540000
Java 7,MySQL 5.6,Yes,1,3,2500,8,92,8,2571,625000
Java 7,MySQL 5.7,Yes,1,3,1466,8,12,8,2900,615000
Java 8,MySQL 5.5,Yes,1,1,2100,8,52,8,2500,430000
Java 8,MySQL 5.6,Yes,1,1,2500,8,57,8,2500,425000
Java 8,MySQL 5.7,Yes,1,1,2042,8,77,8,2300,457000
Java 8,MySQL 8.0,Yes,1,1,2458,8,97,8,2500,459820
Java 9,MySQL 5.6,Yes,1,1,1800,8,67,8,2500,439400
Java 9,MySQL 5.7,Yes,1,1,2300,8,47,8,2500,417000
Java 9,MySQL 8.0,Yes,1,1,1800,8,67,8,2500,423000
Java 10,MySQL 5.6,Yes,1,1,2500,8,87,8,1480,465557
Java 10,MySQL 5.7,Yes,1,2,2000,8,97,8,2142,637000
Java 10,MySQL 8.0,Yes,1,2,1453,8,86,8,3425,500000
Java 11,MySQL 5.6,Yes,1,1,2200,8,62,8,2800,455000
Java 11,MySQL 5.7,Yes,1,1,2300,8,67,8,2800,439000
Java 11,MySQL 8.0,Yes,1,1,1900,8,72,8,2127,459202
Java 12,MySQL 5.7,Yes,1,1,1800,8,67,8,3713,420000
Java 12,MySQL 8.0,Yes,1,1,1800,8,67,8,4526,432000
Java 13,MySQL 5.7,Yes,1,2,2571,8,57,8,1076,435000
Java 13,MySQL 8.0,Yes,1,2,2900,8,92,8,1433,645000
Java 14,MySQL 5.7,Yes,1,2,2500,8,92,8,2100,459000
Java 14,MySQL 8.0,Yes,1,2,2500,8,97,8,2000,580000
Java 15,MySQL 8.0,Yes,1,2,2300,8,52,8,3325,605000
Java 16,MySQL 8.0,Yes,1,2,2500,8,12,8,2640,668800
Java 17,MySQL 8.0,Yes,1,2,2500,8,87,8,2175,440000
Java 18,MySQL 8.0,Yes,1,2,2500,8,92,8,1967,605000
Java 19,MySQL 8.0,Yes,1,2,2500,8,57,8,1967,525000
Java 20,MySQL 8.0,Yes,1,2,1480,8,67,8,1967,420000
Java 21,MySQL 8.0,Yes,1,2,2142,8,67,8,1820,429000
MySQL 3.x,.NET Framework 1.0,No,0,2,3425,8,67,8,2856,485000
MySQL 3.x,.NET Framework 1.1,No,0,2,2800,8,62,8,1800,500000
MySQL 3.x,.NET Framework 2.0,No,0,2,2800,8,62,8,1800,435000
MySQL 3.x,.NET Framework 3.0,No,0,2,2127,8,87,8,1800,426400
MySQL 3.x,.NET Framework 3.5,No,0,2,3713,8,87,8,3438,690000
MySQL 4.x,.NET Framework 1.0,No,0,2,4526,8,92,8,4000,495000
MySQL 4.x,.NET Framework 1.1,No,0,2,1076,8,11,8,3990,560000
MySQL 4.x,.NET Framework 2.0,Yes,1,2,1433,8,11,8,2500,550000
MySQL 4.x,.NET Framework 3.0,Yes,1,2,2100,8,57,8,1992,454000
MySQL 4.x,.NET Framework 3.5,Yes,1,2,2000,8,72,8,2225,500000
MySQL 5.0,.NET Framework 1.0,No,0,2,3325,8,77,8,4184,605000
MySQL 5.0,.NET Framework 1.1,No,0,2,2640,8,67,8,2375,430000
MySQL 5.0,.NET Framework 2.0,Yes,1,2,2175,8,52,8,2250,430000
MySQL 5.0,.NET Framework 3.0,Yes,1,2,1967,8,67,8,4385,635000
MySQL 5.0,.NET Framework 3.5,Yes,1,2,1967,8,67,8,2000,415000
MySQL 5.1,.NET Framework 2.0,Yes,1,2,1967,8,67,8,2500,421000
MySQL 5.1,.NET Framework 3.0,Yes,1,2,1820,8,67,8,1425,482948
MySQL 5.1,.NET Framework 3.5,Yes,1,2,2856,8,1,8,2200,745000
MySQL 5.5,.NET Framework 3.5,Yes,1,2,1800,8,1,8,2200,742304
MySQL 5.5,.NET Framework 4.0,Yes,1,2,1800,8,1,8,2500,735000
MySQL 5.5,.NET Framework 4.5,Yes,1,2,1800,8,1,8,1900,748413
MySQL 5.6,.NET Framework 4.0,Yes,1,2,3438,8,2,8,2500,712775
MySQL 5.6,.NET Framework 4.5,Yes,1,2,4000,8,12,8,1949,609500
MySQL 5.6,.NET Framework 4.6,Yes,1,2,3990,8,72,8,3742,590000
MySQL 5.7,.NET Framework 4.5,Yes,1,2,2500,8,57,8,2250,540000
MySQL 5.7,.NET Framework 4.6,Yes,1,2,1992,8,62,8,3100,520000
MySQL 5.7,.NET Framework 4.7,Yes,1,2,2225,8,67,8,2575,517000
MySQL 5.7,.NET Framework 4.8,Yes,1,2,4184,8,107,8,2575,430000
MySQL 8.0,.NET Framework 4.6,Yes,1,2,2375,8,97,8,2927,530000
MySQL 8.0,.NET Framework 4.7,Yes,1,2,2250,8,77,8,3425,615000
MySQL 8.0,.NET Framework 4.8,Yes,1,2,4385,8,72,8,2704,625000
MySQL 8.0,.NET 5.0,Yes,1,2,2000,8,72,8,2522,415000
MySQL 8.0,.NET 6.0,Yes,1,2,2500,8,82,8,3987,485000
MySQL 8.0,.NET 7.0,Yes,1,2,1425,8,67,8,2325,550000
MySQL 8.0,.NET 8.0,Yes,1,2,2200,8,72,8,2237,480000
Python 2.7,MySQL 3.x,No,0,2,2200,8,67,8,2968,480000
Python 2.7,MySQL 4.x,No,0,3,2500,8,92,8,2538,465000
Python 2.7,MySQL 5.0,Yes,1,3,1900,8,77,8,2500,678000
Python 2.7,MySQL 5.1,Yes,1,3,2500,8,77,8,2842,424000
Python 2.7,MySQL 5.5,Yes,1,1,1949,8,57,8,3750,419000
Python 2.7,MySQL 5.6,Yes,1,1,3742,8,77,8,3893,459000
Python 2.7,MySQL 5.7,Yes,1,1,2250,8,102,8,3058,459950
Python 2.7,MySQL 8.0,No,0,1,3100,8,30,8,4283,435000
Python 3.4,MySQL 5.1,Yes,1,1,2575,8,87,8,1607,480000
Python 3.4,MySQL 5.5,Yes,1,1,2575,8,92,8,2575,480000
Python 3.4,MySQL 5.6,Yes,1,1,2927,8,92,8,2575,475000
Python 3.4,MySQL 5.7,Yes,1,1,3425,8,107,8,2351,476000
Python 3.4,MySQL 8.0,No,0,1,2704,8,67,8,2314,510000
Python 3.5,MySQL 5.5,Yes,1,2,2522,8,17,8,2146,471594
Python 3.5,MySQL 5.6,Yes,1,2,3987,8,16,8,2559,510000
Python 3.5,MySQL 5.7,Yes,1,2,2325,8,17,8,2017,580000
Python 3.5,MySQL 8.0,No,0,2,2237,8,52,8,2733,570000
Python 3.6,MySQL 5.6,Yes,1,2,2968,8,52,8,2300,440000
Python 3.6,MySQL 5.7,Yes,1,2,2538,8,14,8,3399,645000
Python 3.6,MySQL 8.0,Yes,1,2,2500,8,12,8,2060,624000
Python 3.7,MySQL 5.6,Yes,1,2,2842,8,57,8,2575,630000
Python 3.7,MySQL 5.7,Yes,1,2,3750,8,72,8,2575,689000
Python 3.7,MySQL 8.0,Yes,1,2,3893,8,29,8,4878,500000
Python 3.8,MySQL 5.7,Yes,1,2,3058,8,67,8,4878,580000
Python 3.8,MySQL 8.0,Yes,1,2,4283,8,97,8,2549,700000
Python 3.9,MySQL 5.7,Yes,1,2,1607,8,107,8,2034,480177
Python 3.9,MySQL 8.0,Yes,1,2,2575,8,97,8,2549,535000
Python 3.10,MySQL 5.7,Yes,1,2,2575,8,97,8,4129,590000
Python 3.10,MySQL 8.0,Yes,1,2,2351,8,12,8,2635,515000
Python 3.11,MySQL 5.7,Yes,1,2,2314,8,107,8,2167,440000
Python 3.11,MySQL 8.0,Yes,1,2,2146,8,57,8,1744,550000
